Submitter,Maximum review status,Total submissions,Submissions with interpretations,Total Genes,Last updated,submitters_id,country_name,alpha_3
Genetics Laboratory; Facudade de Medicina de Sao Jose do Rio Preto,-,11,11,2,"Aug 29, 2017",506279,Brazil,BRA
Australian Red Cross Blood Service,Assertion criteria,11,11,8,"Apr 24, 2020",505740,Australia,AUS
Biochimie - Maladies Neurologiques Hereditaires,Assertion criteria,10,10,3,"Sep 04, 2018",506055,France,FRA
Pediatric Metabolic Diseases; Hacettepe University,Assertion criteria,10,10,5,"Jun 30, 2020",506421,Turkey,TUR
"Department of Urology, Tongji Hospital; Tongji Medical College, Huazhong University of Science and Technology",-,10,10,1,"May 21, 2020",507595,China,CHN
Department of Medical Genetics and Molecular Diagnostic Laboratory; Shanghai Children's Medical Center,Assertion criteria,10,10,3,"May 20, 2020",506151,China,CHN
Genetics; Medical University of Vienna,-,10,10,5,"Apr 23, 2017",506006,Austria,AUT
IUMS Hospital Medical Genetics Lab; Iran University of Medical Sciences,-,10,10,7,"Jan 18, 2017",505843,"Iran, Islamic Republic of",IRN
Aziz Sancar Institute of Experimental Medicine; Istanbul University,Assertion criteria,10,10,5,"Jan 22, 2019",505669,Turkey,TUR
Leeds Vision Research Group; University of Leeds,Assertion criteria,10,10,2,"Apr 11, 2016",505453,United States,USA
"College of Science, Al Muthanna University; Al Muthanna University",-,10,10,4,"Oct 25, 2018",506610,United States,USA
Lab Thiel (Congenital Disorders of Glycosylation); Center for Child and Adolescent Medicine,Assertion criteria,10,10,4,"Mar 09, 2020",506293,Germany,DEU
"Pharmacology and Genetics Laboratory; Bauru School of Dentistry, University of Sao Paulo",-,10,10,1,"Aug 07, 2018",506628,Brazil,BRA
Genomics Facility; Ludwig-Maximilians-Universität München,Assertion criteria,10,10,4,"Jun 10, 2020",507363,Germany,DEU
"Versiti Diagnostic Laboratories; Versiti, Inc",Assertion criteria,10,10,2,"Mar 06, 2020",320366,United States,USA
TNNT3 homepage - Leiden Muscular Dystrophy pages; Leiden University Medical Center,-,10,0,1,"Mar 18, 2012",500024,Netherlands,NLD
Laboratoire de Genetique Moleculaire; Centre Hospitalier Universitaire de Bordeaux,Assertion criteria,10,10,36,"Jul 10, 2020",506590,France,FRA
Cole/Wambach Lab; Washington University in St. Louis,Assertion criteria,10,10,1,"Nov 21, 2018",506738,United States,USA
UMR_S938_Pr. Le Bouc; INSERM,-,10,0,3,"Oct 13, 2014",504807,France,FRA
Immunobiology Lab; University of Kashmir,-,10,0,1,"Dec 27, 2014",505308,India,IND
Translational Research Program on Neuronal Ceroid Lipofuscinosis; Center for the Study of Inborn Errors of Metabolism,Assertion criteria,10,10,2,"Jul 01, 2018",506376,Argentina,ARG
Molecular and Medical Genetics Group; King's College London,Assertion criteria,10,10,1,"Aug 25, 2015",505685,United Kingdom,GBR
MOLECULAR BIOLOGY LABORATORY; INSTITUTO NACIONAL DE PEDIATRIA,Assertion criteria,10,10,2,"Jan 16, 2016",505575,Mexico,MEX
Genetics Division; UCSD,-,10,10,8,"May 04, 2018",506396,Brazil,BRA
Amsterdam Leukodystrophy Center; Amsterdam UMC,Assertion criteria,10,10,1,"Jul 08, 2020",507658,Netherlands,NLD
Departement d'Immunology Plaquettaire; Institut National de la Transfusion Sanguine,Assertion criteria,9,9,2,"Jul 01, 2020",507591,France,FRA
Human Genetics Department; DeNA Laboratory,-,9,9,8,"Apr 30, 2020",507131,"Iran, Islamic Republic of",IRN
Dr. Faghihi's Medical Genetic Center; Shiraz University of Medical Sciences,Assertion criteria,9,9,11,"Jun 21, 2020",505525,"Iran, Islamic Republic of",IRN
"Genomic Medicine Theme, NIHR Oxford Biomedical Research Centre; University of Oxford",Assertion criteria,9,9,3,"Apr 12, 2019",506645,United Kingdom,GBR
Genetics Research Center; University of Social Welfare and Rehabilitation Sciences,Assertion criteria,9,9,8,"Oct 01, 2019",505450,"Iran, Islamic Republic of",IRN
"Research Unit for Molecular Medicine, Department for Clinical Medicine; Aarhus University",Assertion criteria,9,9,2,"Aug 14, 2020",505750,Denmark,DNK
"Neuromuscular Department, Shariati Hospital; Tehran University of Medical Sciences",-,9,9,4,"Sep 06, 2020",507147,"Iran, Islamic Republic of",IRN
"Department of Medical Genetics, Faculty of Medicine; Ege University",-,9,9,7,"Oct 06, 2015",505543,Turkey,TUR
Department of Animal Sciences; Quaid-i-Azam University,-,9,9,5,"Apr 07, 2020",506100,Pakistan,PAK
Dr. Peter K. Rogan Lab; Western University,-,9,9,7,"Feb 05, 2016",505643,Canada,CAN
Human Genetics Laboratory; Castilla-La Mancha University,-,9,9,2,"Mar 02, 2015",504817,Spain,ESP
"Functional Genomics; Thrombosis Research Institute, India",-,9,0,7,"Oct 17, 2012",500311,India,IND
Department of Prosthodontics; Peking University School and Hospital of Stomatology,-,9,9,5,"Apr 27, 2020",504861,China,CHN
"Medical Biochemical Genetics, National Human Genome institute, NIH; National Institutes of Health",-,9,9,1,"Jan 07, 2016",505700,United States,USA
"Centre de recherche St Antoine, Sorbonne Université, INSERM; Sorbonne University",Assertion criteria,9,9,1,"Apr 05, 2019",506959,France,FRA
Genetics of Infertility and Preimplantation Genetic Diagnosis; Centre Hospitalier Universitaire Grenoble Alpes,-,9,9,4,"Aug 21, 2019",506452,France,FRA
Department of Immunology; University Hospital Southampton NHSFT,Assertion criteria,9,9,7,"Jul 26, 2017",506222,United Kingdom,GBR
Center for Genomic Medicine; Kyoto University Graduate School of Medicine,-,9,9,2,"Jul 13, 2016",505865,Japan,JPN
Molecular Endocrinology Laboratory; Poznan University of Medical Sciences,-,9,9,11,"Sep 14, 2016",505924,Poland,POL
Center for Individualized Medicine; Mayo Clinic,Assertion criteria,9,9,10,"Sep 10, 2015",505515,United States,USA
Epilepsy Neurogenetics Initiative; Children's Hospital of Philadelphia,Assertion criteria,9,9,1,"Feb 13, 2020",507282,United States,USA
Johns Hopkins Genetic Resources Core Facility; Johns Hopkins University,-,9,0,5,"Jan 25, 2014",504802,United States,USA
Leiden Muscular Dystrophy pages (B3GALNT2),-,9,0,2,"Apr 18, 2013",505195,Netherlands,NLD
Institute of Experimental Endocrinology; Slovak Academy of Sciences,Assertion criteria,9,9,5,"Aug 01, 2018",505959,Slovakia,SVK
Laboratoire de Biologie et Génétique du Cancer; Centre François Baclesse,Assertion criteria,8,8,3,"Apr 04, 2017",506119,France,FRA
TNNI2 homepage - Leiden Muscular Dystrophy pages,-,8,0,1,"Apr 05, 2012",504732,Netherlands,NLD
Exeter Molecular Genetics Laboratory,Assertion criteria,8,8,2,"Jun 10, 2020",229552,United Kingdom,GBR
Molecular Genetics Diagnostic Laboratory; Detroit Medical Center University Laboratories,-,8,8,1,"Aug 13, 2014",1167,United States,USA
Area of Clinical and Molecular Genetics; Hospital Universitario Vall de Hebron,Assertion criteria,8,8,10,"Apr 06, 2020",506117,Spain,ESP
"Department of Orthopeadics and Traumatology; Nanfang Hospital, Southern Medical University",-,8,8,5,"Jan 27, 2017",506019,China,CHN
"Center for Medical Genomics, Faculty of Medicine Ramathibodi Hospital, Mahidol University; Faculty of Medicine Ramathibodi Hospital, Mahidol University",Assertion criteria,8,8,2,"May 01, 2019",505780,Thailand,THA
Neurometabolisches Labor; University hospital Tuebingen,Assertion criteria,8,8,1,"Aug 03, 2017",506271,Germany,DEU
Neurogenetics group; VIB-University of Antwerp,-,8,8,5,"Sep 17, 2018",505728,Belgium,BEL
Medical Genetics; Necip Fazıl Sehir Hastanesi,Assertion criteria,8,8,8,"Apr 30, 2019",506851,Turkey,TUR
Laboratory of NeuroGenetics and Regenerative Medicine; University of Maryland School of Medicine,Assertion criteria,8,8,9,"Jul 07, 2020",505908,United States,USA
Women's and Children's Health; University of Otago,Assertion criteria,8,8,2,"Aug 12, 2020",507089,New Zealand,NZL
"Department of Genetics of Metabolic Diseases, Institute of Medical & Molecular Genetics; Hospital Universitario Hospital La Paz",-,8,8,1,"Mar 06, 2019",506920,Spain,ESP
UOSD Genetics and Genomics of Rare Diseases; Istituto Giannina Gaslini,Assertion criteria,8,8,2,"May 10, 2020",505573,Italy,ITA
Belal Azab Laboratory; The University of Jordan,Assertion criteria,8,8,6,"Feb 28, 2020",507122,Jordan,JOR
Molecular Diagnosis Center for Deafness,Assertion criteria,8,8,3,"Mar 20, 2020",507362,China,CHN
Molecular Genetics and Enzymology; National Research Centre,-,8,8,4,"Jul 08, 2014",505100,Egypt,EGY
Human Genetics Laboratory; State University of Rio de Janeiro,Assertion criteria,8,8,245,"Jul 10, 2020",506955,Brazil,BRA
Pele Pequeno Principe Research Institute; Faculdades Pequeno Principe,Assertion criteria,8,8,2,"Dec 20, 2019",506265,Brazil,BRA
Applied Genomics Center; Hong Kong University of Science and Technology,-,8,8,1,"Apr 12, 2020",507329,Hong Kong,HKG
Neurogenetics of motion laboratory; Montreal Neurological Institute,Assertion criteria,8,8,1,"Sep 08, 2015",505563,Canada,CAN
Faculty of Pharmacy; Medical University of Gdansk,-,8,8,10,"Jun 09, 2015",505699,Poland,POL
Laboratory for Genetics of Human Development; Catholic University of Leuven,-,8,8,5,"Jul 16, 2014",500109,Belgium,BEL
"Medizinische Klinik 1/ Institut für Bioinformatik; Universitätsklinikum Großhadern, München/ Helmholtz Zentrum München",-,8,8,1,"Sep 09, 2015",505556,Germany,DEU
Finnell Lab; Baylor College of Medicine,-,8,8,1,"Nov 15, 2019",507276,United States,USA
Laboratorio de Genetica Humana; Universidad de los Andes,-,8,6,7,"Aug 27, 2014",500263,Colombia,COL
Karolinska institutet; Karolinska Institutet,-,8,8,8,"Apr 08, 2015",505395,Sweden,SWE
Medical Genetics Laboratory; DeNA Laboratory,Assertion criteria,8,8,7,"Aug 25, 2020",507389,"Iran, Islamic Republic of",IRN
Forschungslabor Klinik Innere Medizin A; University Medicine Greifswald,-,7,7,2,"Dec 10, 2014",505298,Germany,DEU
(GEEPAD) Grupo de Estudio de la Enfermedad Poliquística Autosómica Dominante; Hospitales Universitarios Virgen de las Nieves y San Cecilio (Granada),Assertion criteria,7,7,3,"Mar 19, 2020",507632,Spain,ESP
Medical Genetics; CHU Nice,-,7,7,7,"May 06, 2020",507557,France,FRA
Colorectal Cancer Research Laboratory; Singapore General Hospital,Assertion criteria,7,7,4,"Jun 09, 2019",505601,Singapore,SGP
"Medical Genetics Laboratory; West China Hospital, Sichuan University",Assertion criteria,7,7,5,"Sep 18, 2020",507415,China,CHN
"Department of Zoology; University of the Punjab, Lahore",-,7,7,6,"Nov 29, 2018",505868,Pakistan,PAK
Pediatric Nephrology Laboratory; The University of Tokyo Hospital,Assertion criteria,7,7,1,"Mar 16, 2020",507503,Japan,JPN
Stefan Somlo Laboratory; Yale School of Medicine,-,7,7,1,"May 21, 2019",507013,United States,USA
Human Molecular Genetics and Metabolic Disorders; Pakistan Institute for Engineering and Applied Science (PIEAS),-,7,7,7,"May 22, 2018",506245,Pakistan,PAK
Department of Breast and Endocrine Surgery; Kumamoto University,-,7,7,1,"Aug 28, 2014",505220,Japan,JPN
Blood Cell Research; Sanquin,Assertion criteria,7,7,2,"Feb 20, 2019",505752,Netherlands,NLD
Lyon Laboratory; Cold Spring Harbor Laboratory,-,7,7,5,"Jul 08, 2016",505474,United States,USA
Molecular Genetics Laboratory; University Hospital Copenhagen,-,7,7,3,"May 06, 2020",506859,Denmark,DNK
Samuels research lab; Centre de Recherche du CHU Ste-Justine,-,7,7,2,"Oct 10, 2014",505218,Canada,CAN
Dept. of Evolution and Genomic Sciences; University of Manchester,-,7,7,2,"May 02, 2019",506958,United States,USA
Clinical Genetics; Karolinska University Hospital,Assertion criteria,7,7,8,"Oct 23, 2019",505315,Sweden,SWE
Laboratory of Molecular Genetics MedGen,-,7,0,2,"Jul 01, 2014",507238,Poland,POL
Beijing Municipal Key Laboratory; Capital Institute of Pediatrics,-,7,7,1,"Jul 08, 2016",505851,China,CHN
"Division of Cardiology, Departments of Internal Medicine and Genetic Diagnosis Center; Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",-,7,7,1,"Jul 08, 2019",507090,China,CHN
Bone Marrow Failure Laboratory; Queen Mary University of London,-,7,7,2,"Dec 17, 2015",505354,United Kingdom,GBR
"Science and Research Branch, Islamic Azad University; Islamic Azad Universit",Assertion criteria,7,7,4,"Aug 28, 2015",505429,"Iran, Islamic Republic of",IRN
Genetic Predisposition to Colorectal Cancer Group; Institut d’Investigacions Biomediques August Pi i Sunyer,Assertion criteria,7,7,6,"Jun 08, 2016",505690,Spain,ESP
Molecular Therapies Laboratory; Murdoch University,-,7,7,1,"Mar 06, 2020",507242,Australia,AUS
"Biological Sciences; International Islamic University, Islamabad",Assertion criteria,7,7,7,"Aug 10, 2020",507495,Pakistan,PAK
"Xu Lab, Pediatric Cardiology; Xinhua Hospital, affiliated to Shanghai Jiao Tong University School of Medicine",Assertion criteria,7,7,1,"Apr 23, 2020",507339,China,CHN
Hardcastle Lab; UCL Institute of Ophthalmology,-,7,7,2,"Feb 06, 2018",506306,United Kingdom,GBR
Working Group: Pediatric metabolic liver diseases; University Hospital Heidelberg,-,7,7,2,"Jan 16, 2019",506407,Germany,DEU
Dept of Genetics; Assistance Publique-Hôpitaux de Paris (APHP) - R DEBRE University Hospital,-,7,7,2,"Jul 09, 2018",506647,France,FRA
L V Prasad Eye Institute; Hyderabad Eye Research Foundation,-,7,7,1,"Aug 22, 2015",505361,India,IND
Human Genetics Unit; University of Colombo,Assertion criteria,7,7,7,"Aug 18, 2020",505980,Sri Lanka,LKA
"Chelly Lab, Institut de Génétique et de Biologie Moléculaire et Cellulaire; Strasbourg University - CNRS UMR 7104 - Inserm U 964",-,7,7,2,"Mar 21, 2017",505768,France,FRA
Division of Host Defense; Kyushu University,-,7,7,1,"Sep 14, 2017",506105,Japan,JPN
Antonellis Laboratory at Michigan; University of Michigan,-,7,7,3,"Jan 05, 2018",506243,United States,USA
Medical Genetics Laboratories; Baylor College of Medicine,-,7,7,,"Mar 31, 2019",504935,United States,USA
Neurosurgery; Yale University School of Medicine,-,7,7,8,"Mar 06, 2020",507428,United States,USA
Genetics Laboratory; Instituto de Ciencias en Reproduccion Humana,Assertion criteria,7,7,4,"Apr 23, 2020",507136,Mexico,MEX
Department of Medical Genetics; University of Pecs,Assertion criteria,6,6,6,"May 16, 2019",506803,Hungary,HUN
Hearing and Balance Clinic; First Affliiated Hospital of Kunming Medical University,-,6,6,6,"Apr 21, 2020",506144,China,CHN
FirmaLab,-,6,6,6,"Mar 08, 2017",256489,United States,USA
Wangler Lab; Baylor College of Medicine,Assertion criteria,6,6,4,"Nov 01, 2019",506171,United States,USA
Bonnen Lab; Baylor College of Medicine,Assertion criteria,6,6,2,"Jan 21, 2015",505303,United States,USA
"Elsea Lab, Dept of Molecular and Human Genetics; Baylor College of Medicine",-,6,6,7,"Jun 05, 2014",505366,United States,USA
"Center for Advanced Molecular Diagnostics, Cytogenetics Laboratory; Brigham and Women's Hospital",-,6,6,5,"Jul 20, 2015",1196,United States,USA
STRNAD; University Hospital of Ulm,-,6,0,3,"May 14, 2013",500124,Germany,DEU
Biotechnology Research Center; Pasteur Institute of Iran,Assertion criteria,6,6,2,"Mar 26, 2018",506109,"Iran, Islamic Republic of",IRN
Centre for Molecular Diagnostics & Cell Biology; Rajiv Gandhi Cancer Institute & Research Center,Assertion criteria,6,5,5,"May 21, 2018",506048,India,IND
Fujian Institute of Hematology; Fujian Medical University,-,6,6,2,"May 10, 2017",504800,China,CHN
Molecular Medicine Center; Medical University of Sofia,Assertion criteria,6,6,8,"Aug 03, 2020",506095,Bulgaria,BGR
Genomics Laboratory; Virgen de la Arrixaca University Clinical Hospital,Assertion criteria,6,6,7,"May 27, 2019",506231,Spain,ESP
Diagnostic Molecular Genetics Laboratory; Memorial Sloan Kettering Cancer Center,Assertion criteria,6,6,2,"Apr 13, 2019",505433,United States,USA
Clinical Cancer Genetics and Family Consultants; Athens Medical Center,Assertion criteria,6,6,8,"May 02, 2020",506675,Greece,GRC
Caldovic Lab; Children's National Health System,-,6,6,1,"Jan 05, 2018",506404,United States,USA
Curoverse,-,6,6,2,"Aug 24, 2015",505507,United States,USA
Laboratory of Molecular Neuropathology; The University of Texas Health Science Center at Houston,Assertion criteria,6,6,5,"Mar 26, 2018",506506,United States,USA
Department of Pathology and Genetics; University of Gothenburg,-,6,6,4,"May 16, 2018",506479,Sweden,SWE
Center for Computational Genomics and Data Science; University of Alabama,Assertion criteria,6,6,7,"Jun 09, 2020",507266,United States,USA
Zarate Arkansas Children's Genetics Clinic; Arkansas Children's Hospital,-,6,6,2,"Aug 11, 2020",507709,United States,USA
Daan van Aalten Lab; University of Dundee,-,6,6,1,"Oct 07, 2019",507163,United Kingdom,GBR
GBinsight Genetic Testing by GB HealthWatch; Genben Lifesciences Corporation,Assertion criteria,6,6,5,"May 29, 2020",507067,United States,USA
"Department of Ophthalmology, Shanghai Ninth people hospital; Shanghai Ninth People's Hospital, Shanghai Jiao Tong University",-,6,6,1,"Jul 25, 2019",507079,China,CHN
Gastroenterology Department; Qilu Hospital of Shandong University,-,6,6,4,"Sep 16, 2020",507743,China,CHN
Neurogenetic Laboratory; Oslo University Hospital,-,6,6,5,"Jan 28, 2014",504806,Norway,NOR
Research Group Niklas Dahl; Uppsala University,Assertion criteria,6,6,8,"Oct 22, 2019",505896,Sweden,SWE
Engle Laboratory; Boston Children's Hospital,Assertion criteria,6,6,2,"May 03, 2018",18646,United States,USA
Pediatric Endocrinology Laboratory; Christian Albrechts University of Kiel,-,6,0,2,"Jul 05, 2013",500127,Germany,DEU
